Student_ID,Age,Gender,Major,Number_of_Classes,Commuting_Time,GWA,School_Start_Time,Sleep_Hours,Academic_Performance_Score
83,24,Female,Computer Science,4,54,2.56,10:00,6.6,68.01
84,19,Male,Biology,4,40,3.09,08:30,6.6,91.34
85,19,Male,Business,5,38,3.72,09:00,6.5,85.73
86,18,Male,Biology,3,32,1.11,09:30,8.5,62.74
87,18,Male,Computer Science,6,27,1.54,08:00,5.5,66.95
88,24,Male,Biology,5,53,3.15,08:30,7.0,86.48
89,21,Female,Computer Science,5,45,2.25,10:00,4.9,79.0
90,18,Female,Business,5,27,3.17,09:30,6.8,69.71
91,23,Male,Biology,3,19,1.39,10:00,4.9,66.04
92,20,Female,Biology,5,59,1.07,08:00,4.2,58.91
93,21,Female,Business,5,35,3.88,09:00,5.8,88.43
94,20,Male,Computer Science,4,20,2.34,09:30,7.5,73.21
95,20,Male,Business,6,54,1.79,10:00,6.2,75.04
96,19,Female,Business,6,14,2.06,09:30,8.2,61.21
97,24,Female,Business,5,10,2.02,10:00,7.6,68.39
98,21,Male,Computer Science,4,58,2.63,10:00,4.7,65.47
99,19,Female,Business,3,59,3.27,10:00,9.3,85.73
100,22,Female,Computer Science,5,47,2.55,08:30,7.2,74.37
